Code,Title,Include
2126,"""Арбитражный суд г. Москвы""",FALSE
22681,"""Арбитражный суд Санкт-Петербурга и Ленинградской области""",FALSE
2127,"""Арбитражный суд Московской области""",TRUE
2128,"""Арбитражный суд Пермского края""",TRUE
2129,"""Арбитражный суд Свердловской области""",TRUE
5689,"""Арбитражный суд Волгоградской области""",TRUE
5737,"""Арбитражный суд Челябинской области""",TRUE
22673,"""Арбитражный суд Ростовской области""",TRUE
22685,"""Арбитражный суд Краснодарского края""",TRUE
5715,"""Арбитражный суд Республики Адыгея""",TRUE
5716,"""Арбитражный суд Республики Алтай""",TRUE
22674,"""Арбитражный суд Республики Башкортостан""",TRUE
22686,"""Арбитражный суд Республики Бурятия""",TRUE
22682,"""Арбитражный суд Республики Дагестан""",TRUE
22683,"""Арбитражный суд Республики Ингушетия""",TRUE
5695," ""Арбитражный суд Кабардино-Балкарской Республики""",TRUE
22687,"""Арбитражный суд Карачаево-Черкесской Республики""",TRUE
5717,"""Арбитражный суд Республики Калмыкия""",TRUE
22692,"""Арбитражный суд Республики Карелия""",TRUE
5718,"""Арбитражный суд Республики Коми""",TRUE
5719,"""Арбитражный суд Республики Марий Эл""",TRUE
5720,"""Арбитражный суд Республики Мордовия""",TRUE
5721,"""Арбитражный суд Республики Саха (Якутия)""",TRUE
22680,"""Арбитражный суд Республики Северная Осетия — Алания""",TRUE
5722,"""Арбитражный суд Республики Татарстан""",TRUE
22676,"""Арбитражный суд Республики Тыва""",TRUE
5733,"""Арбитражный суд Удмуртской Республики""",TRUE
5723,"""Арбитражный суд Республики Хакасия""",TRUE
22690,"""Арбитражный суд Чеченской Республики""",TRUE
5738,"""Арбитражный суд Чувашской Республики""",TRUE
5683,"""Арбитражный суд Алтайского края""",TRUE
22677,"""Арбитражный суд Забайкальского края""",TRUE
5698,"""Арбитражный суд Камчатского края""",TRUE
5701,"""Арбитражный суд Красноярского края""",TRUE
5713,"""Арбитражный суд Приморского края""",TRUE
23629,"""Арбитражный суд Ставропольского края""",TRUE
5735,"""Арбитражный суд Хабаровского края""",TRUE
5684,"""Арбитражный суд Амурской области""",TRUE
5685,"""Арбитражный суд Архангельской области""",TRUE
5686,"""Арбитражный суд Астраханской области""",TRUE
5687,"""Арбитражный суд Белгородской области""",TRUE
22672,"""Арбитражный суд Брянской области""",TRUE
5688,"""Арбитражный суд Владимирской области""",TRUE
5690," ""Арбитражный суд Вологодской области""",TRUE
5691,"""Арбитражный суд Воронежской области""",TRUE
5693,"""Арбитражный суд Ивановской области""",TRUE
5694,"""Арбитражный суд Иркутской области""",TRUE
5696,"""Арбитражный суд Калининградской области""",TRUE
5697,"""Арбитражный суд Калужской области""",TRUE
22688,"""Арбитражный суд Кемеровской области""",TRUE
5699,"""Арбитражный суд Кировской области""",TRUE
5700,"""Арбитражный суд Костромской области""",TRUE
5702,"""Арбитражный суд Курганской области""",TRUE
5703,"""Арбитражный суд Курской области""",TRUE
5704,"""Арбитражный суд Липецкой области""",TRUE
22689,"""Арбитражный суд Магаданской области""",TRUE
5705,"""Арбитражный суд Мурманской области""",TRUE
5706,"""Арбитражный суд Нижегородской области""",TRUE
5707,"""Арбитражный суд Новгородской области""",TRUE
5709,"""Арбитражный суд Омской области""",TRUE
5710,"""Арбитражный суд Оренбургской области""",TRUE
22678,"""Арбитражный суд Орловской области""",TRUE
5711,"""Арбитражный суд Пензенской области""",TRUE
5714,"""Арбитражный суд Псковской области""",TRUE
5724,"""Арбитражный суд Рязанской области""",TRUE
5725,"""Арбитражный суд Самарской области""",TRUE
5726,"""Арбитражный суд Саратовской области""",TRUE
5727,"""Арбитражный суд Сахалинской области""",TRUE
5728,"""Арбитражный суд Смоленской области""",TRUE
22684,"""Арбитражный суд Тамбовской области""",TRUE
5729,"""Арбитражный суд Тверской области""",TRUE
5730,"""Арбитражный суд Томской области""",TRUE
5731,"""Арбитражный суд Тульской области""",TRUE
5732,"""Арбитражный суд Тюменской области""",TRUE
5734,"""Арбитражный суд Ульяновской области""",TRUE
5737,"""Арбитражный суд Челябинской области""",TRUE
5739,"""Арбитражный суд Ярославской области""",TRUE
5692,"""Арбитражный суд Еврейской автономной области""",TRUE
5736,"""Арбитражный суд Ханты-Мансийского автономного округа""",TRUE
22691,"""Арбитражный суд Чукотского автономного округа""",TRUE
22798,"""Арбитражный Суд Ямало-Ненецкого автономного округа""",TRUE